,name,height,points,salary
140,Giannis Antetokounmpo,h-4,p-4,s-10
141,Glenn Robinson III,h-3,p-2,s-1
142,Goga Bitadze,h-4,p-1,s-3
143,Goran Dragic,h-3,p-4,s-9
144,Gordon Hayward,h-3,p-4,s-10
145,Gorgui Dieng,h-4,p-2,s-9
146,Grant Williams,h-3,p-2,s-3
147,Grayson Allen,h-3,p-2,s-3
148,Guerschon Yabusele,h-4,p-1,s-2
149,Hamidou Diallo,h-3,p-3,s-2
150,Harrison Barnes,h-4,p-4,s-9
151,Hassan Whiteside,h-4,p-2,s-2
152,Henry Ellenson,h-4,p-2,s-1
153,Iman Shumpert,h-3,p-1,s-1
154,Isaac Bonga,h-4,p-1,s-2
155,Isaiah Hartenstein,h-4,p-1,s-2
156,Isaiah Roby,h-4,p-2,s-2
157,Isaiah Thomas,h-1,p-4,s-1
158,Ish Smith,h-2,p-2,s-7
159,Ivica Zubac,h-4,p-2,s-7
160,JJ Redick,h-3,p-2,s-8
161,JR Smith,h-3,p-3,s-2
162,Ja Morant,h-3,p-4,s-7
163,JaKarr Sampson,h-3,p-1,s-2
164,JaMychal Green,h-4,p-2,s-7
165,JaVale McGee,h-4,p-2,s-5
166,Jabari Parker,h-4,p-1,s-7
167,Jacob Evans,h-3,p-1,s-3
168,Jae Crowder,h-3,p-3,s-7
169,Jahlil Okafor,h-4,p-2,s-2
170,Jake Layman,h-4,p-2,s-4
171,Jakob Poeltl,h-5,p-2,s-7
172,Jalen Brunson,h-2,p-3,s-2
173,Jalen Lecque,h-3,p-1,s-2
174,Jalen McDaniels,h-4,p-2,s-2
175,Jamal Murray,h-3,p-4,s-10
176,James Harden,h-3,p-4,s-11
177,James Johnson,h-3,p-2,s-9
178,Jared Dudley,h-3,p-1,s-2
179,Jarred Vanderbilt,h-4,p-2,s-2
180,Jarrett Allen,h-4,p-3,s-4
181,Jarrett Culver,h-3,p-2,s-7
182,Javonte Green,h-3,p-2,s-2
183,Jaxson Hayes,h-4,p-2,s-6
184,Jaylen Brown,h-3,p-4,s-9
185,Jaylen Nowell,h-3,p-3,s-2
186,Jayson Tatum,h-4,p-4,s-7
187,Jeff Green,h-4,p-2,s-2
188,Jeff Teague,h-3,p-2,s-2
189,Jerami Grant,h-4,p-4,s-9
190,Jeremy Lamb,h-3,p-3,s-8
191,Jerian Grant,h-3,p-2,s-1
192,Jerome Robinson,h-3,p-2,s-4
193,Jevon Carter,h-2,p-1,s-4
194,Jimmy Butler,h-3,p-4,s-10
195,Joakim Noah,h-4,p-2,s-7
196,Joe Harris,h-3,p-4,s-9
197,Joe Ingles,h-4,p-3,s-8
198,Joel Embiid,h-4,p-4,s-10
199,John Collins,h-4,p-4,s-5
200,John Henson,h-4,p-2,s-1
201,John Konchar,h-3,p-2,s-3
202,John Wall,h-3,p-4,s-11
203,Jon Leuer,h-4,p-2,s-4
204,Jonas Valanciunas,h-4,p-4,s-9
205,Jonathan Isaac,h-4,p-3,s-7
206,Jordan Bell,h-4,p-1,s-1
207,Jordan Clarkson,h-3,p-4,s-8
208,Jordan Poole,h-3,p-3,s-3
209,Josh Gray,h-2,p-2,s-2
210,Josh Hart,h-3,p-2,s-4
211,Josh Jackson,h-4,p-4,s-5
212,Josh Okogie,h-3,p-2,s-3
213,Josh Richardson,h-3,p-4,s-8
214,Jrue Holiday,h-3,p-4,s-10
215,Juancho Hernangomez,h-4,p-2,s-7
216,Julius Randle,h-4,p-4,s-9
217,Justin Anderson,h-3,p-2,s-1
218,Justin Holiday,h-3,p-3,s-6
219,Justin Jackson,h-4,p-2,s-6
220,Justin James,h-3,p-1,s-2
221,Justin Robinson,h-2,p-1,s-1
222,Justise Winslow,h-3,p-2,s-8
223,Jusuf Nurkic,h-4,p-2,s-8
224,Juwan Morgan,h-3,p-1,s-2
225,KZ Okpala,h-4,p-1,s-2
226,Kawhi Leonard,h-3,p-4,s-10
227,Kelan Martin,h-3,p-1,s-2
228,Keldon Johnson,h-3,p-4,s-3
229,Kelly Olynyk,h-4,p-3,s-8
230,Kemba Walker,h-2,p-4,s-10
231,Kendrick Nunn,h-2,p-4,s-2
232,Kenrich Williams,h-3,p-2,s-3
233,Kent Bazemore,h-3,p-2,s-2
234,Kevin Durant,h-4,p-4,s-11
235,Kevin Huerter,h-3,p-3,s-3
236,Kevin Love,h-4,p-2,s-10
237,Kevon Looney,h-4,p-1,s-5
238,Khem Birch,h-4,p-2,s-4
239,Khris Middleton,h-3,p-4,s-10
240,Khyri Thomas,h-3,p-1,s-1
241,Klay Thompson,h-3,p-4,s-11
242,Kris Dunn,h-3,p-2,s-5
243,Kristaps Porzingis,h-5,p-4,s-10
244,Kyle Anderson,h-4,p-3,s-7
245,Kyle Kuzma,h-4,p-3,s-4
246,Kyle Lowry,h-2,p-4,s-10
247,Kyle Singler,h-4,p-2,s-1
248,Kyrie Irving,h-2,p-4,s-10
249,LaMarcus Aldridge,h-4,p-4,s-9
250,Landry Shamet,h-3,p-2,s-3
251,Langston Galloway,h-2,p-2,s-2
252,Larry Sanders,h-4,p-2,s-2
253,Lauri Markkanen,h-4,p-4,s-7
254,LeBron James,h-4,p-4,s-11
255,Lonzo Ball,h-3,p-4,s-8
256,Lou Williams,h-2,p-3,s-7
257,Luguentz Dort,h-3,p-3,s-2
258,Luka Doncic,h-3,p-4,s-7
259,Luka Samanic,h-4,p-1,s-3
260,Luke Kennard,h-3,p-2,s-6
261,Luke Kornet,h-5,p-1,s-3
262,Luol Deng,h-4,p-4,s-6
263,Malcolm Brogdon,h-3,p-4,s-9
264,Malik Beasley,h-3,p-4,s-8
265,Malik Monk,h-3,p-3,s-6
266,Marc Gasol,h-4,p-2,s-3
267,Marcus Smart,h-3,p-3,s-8
268,Mario Hezonja,h-4,p-2,s-2
269,Markelle Fultz,h-3,p-3,s-8
270,Markieff Morris,h-4,p-2,s-2
271,Marko Guduric,h-3,p-1,s-3
272,Marquese Chriss,h-4,p-2,s-2
273,Marvin Bagley III,h-4,p-4,s-7
274,Mason Plumlee,h-4,p-3,s-7
275,Matisse Thybulle,h-3,p-1,s-3
276,Matt Thomas,h-3,p-1,s-2
277,Matthew Dellavedova,h-3,p-1,s-2
278,Maurice Harkless,h-3,p-1,s-4
279,Maxi Kleber,h-4,p-2,s-7
280,Meyers Leonard,h-4,p-1,s-7
281,Mfiondu Kabengele,h-4,p-1,s-3
282,Mikal Bridges,h-3,p-4,s-5
283,Mike Conley,h-2,p-4,s-10
284,Mike Muscala,h-4,p-2,s-3
285,Mike Scott,h-3,p-1,s-6
286,Miles Bridges,h-3,p-2,s-4
287,Mitchell Robinson,h-4,p-2,s-2
288,Miye Oni,h-3,p-1,s-2
289,Mo Bamba,h-4,p-2,s-6
290,Monta Ellis,h-3,p-4,s-3
291,Monte Morris,h-2,p-3,s-2
292,Montrezl Harrell,h-3,p-4,s-7
293,Moritz Wagner,h-4,p-2,s-3
294,Moses Brown,h-5,p-2,s-2
295,Myles Turner,h-4,p-4,s-9
296,Nassir Little,h-3,p-2,s-3
297,Naz Reid,h-4,p-3,s-2
298,Nemanja Bjelica,h-4,p-2,s-7
299,Nerlens Noel,h-4,p-2,s-6
300,Nicolas Batum,h-4,p-2,s-7
301,Nicolas Claxton,h-4,p-2,s-2
302,Nicolo Melli,h-4,p-1,s-4
303,Nikola Jokic,h-4,p-4,s-10
304,Nikola Vucevic,h-4,p-4,s-10
305,Noah Vonleh,h-4,p-1,s-1
306,Norman Powell,h-3,p-4,s-8
307,Norvel Pelle,h-4,p-1,s-1
308,OG Anunoby,h-3,p-4,s-4
309,Omari Spellman,h-4,p-2,s-2
310,Oshae Brissett,h-3,p-1,s-1
311,PJ Dozier,h-3,p-2,s-2
312,Pascal Siakam,h-4,p-4,s-10
313,Pat Connaughton,h-3,p-2,s-5
314,Patrick Beverley,h-2,p-2,s-8
315,Patrick McCaw,h-3,p-1,s-5
316,Patrick Patterson,h-4,p-2,s-4
317,Patty Mills,h-2,p-3,s-8
318,Paul George,h-4,p-4,s-11
319,Paul Millsap,h-3,p-2,s-8
320,Paul Watson,h-3,p-1,s-2
321,Quinn Cook,h-2,p-1,s-2
322,RJ Barrett,h-3,p-4,s-7
323,Rajon Rondo,h-2,p-1,s-7
324,Raul Neto,h-2,p-2,s-2
325,Rayjon Tucker,h-3,p-2,s-1
326,Reggie Bullock,h-3,p-2,s-5
327,Reggie Jackson,h-2,p-2,s-2
328,Richaun Holmes,h-4,p-4,s-6
329,Ricky Rubio,h-3,p-2,s-9
330,Robert Covington,h-3,p-2,s-8
331,Robin Lopez,h-4,p-2,s-7
332,Rodions Kurucs,h-4,p-1,s-2
333,Rodney Hood,h-4,p-2,s-8
334,Rodney McGruder,h-3,p-2,s-6
335,Romeo Langford,h-3,p-1,s-4
336,Royce O'Neale,h-3,p-2,s-7
337,Rudy Gay,h-4,p-3,s-8
338,Rudy Gobert,h-5,p-4,s-10
339,Rui Hachimura,h-4,p-4,s-5
340,Russell Westbrook,h-3,p-4,s-11
341,Ryan Anderson,h-4,p-3,s-6
342,Ryan Arcidiacono,h-3,p-1,s-4
343,Sekou Doumbouya,h-4,p-1,s-4
344,Semi Ojeleye,h-3,p-2,s-2
345,Serge Ibaka,h-4,p-3,s-7
346,Seth Curry,h-2,p-3,s-7
347,Shake Milton,h-3,p-4,s-2
348,Shaquille Harrison,h-3,p-1,s-1
349,Shaun Livingston,h-3,p-2,s-1
