,name,age,points,salary
0,AJ Hammons,0.40000000000000013,0.06918238993710693,0.006985856949431612
1,Aaron Gordon,0.25,0.4591194968553459,0.42104040374741236
2,Aaron Holiday,0.19999999999999996,0.2169811320754717,0.05344121087349064
3,Abdel Nader,0.3500000000000001,0.21069182389937108,0.03964372029456312
4,Admiral Schofield,0.19999999999999996,0.09433962264150944,0.03417377384053147
5,Al Horford,0.7,0.449685534591195,0.6390205949004714
6,Alec Burks,0.44999999999999996,0.3962264150943396,0.13851266082542094
7,Alen Smailagic,0.0,0.05345911949685534,0.03417377384053147
8,Alex Caruso,0.3500000000000001,0.18238993710691823,0.06285448474430866
9,Alex Len,0.3500000000000001,0.19182389937106917,0.05140100085756797
10,Alfonzo McKinnie,0.40000000000000013,0.07861635220125786,0.0398729296489307
11,Alize Johnson,0.19999999999999996,0.06289308176100629,0.0014199992075679035
12,Anderson Varejao,0.9000000000000001,0.22955974842767296,0.043377625879956964
13,Andre Drummond,0.3500000000000001,0.550314465408805,0.6496648389358485
14,Andre Iguodala,0.8500000000000001,0.14779874213836477,0.3480276099731165
15,Andre Roberson,0.44999999999999996,0.03773584905660377,0.002649619164676934
16,Andrew Nicholson,0.55,0.18867924528301888,0.06505276214964387
17,Andrew Wiggins,0.30000000000000004,0.5566037735849056,0.686557441712592
18,Anfernee Simons,0.050000000000000044,0.25157232704402516,0.05126225540235461
19,Anthony Davis,0.40000000000000013,0.7075471698113207,0.7610514130596069
20,Anzejs Pasecniks,0.25,0.0,0.007549452162638913
21,Aron Baynes,0.7,0.19182389937106917,0.16179209961960933
22,Austin Rivers,0.40000000000000013,0.22955974842767296,0.08031406383994995
23,Avery Bradley,0.5,0.2672955974842767,0.13001566566554218
24,Bam Adebayo,0.15000000000000013,0.6037735849056604,0.11792181097645094
25,Ben McLemore,0.40000000000000013,0.20754716981132074,0.05198377832834168
26,Ben Simmons,0.19999999999999996,0.5062893081761006,0.7102370540596525
27,Bismack Biyombo,0.40000000000000013,0.17295597484276728,0.08031406383994995
28,Blake Griffin,0.6000000000000001,0.36477987421383645,0.7593884463493441
29,Boban Marjanovic,0.6000000000000001,0.13836477987421386,0.08031406383994995
30,Bobby Portis,0.30000000000000004,0.339622641509434,0.08317743481163511
31,Bogdan Bogdanovic,0.40000000000000013,0.3018867924528302,0.41786592635568165
32,Bojan Bogdanovic,0.55,0.46855345911949686,0.41437401053655337
33,Brad Wanamaker,0.55,0.14779874213836477,0.05121476534721446
34,Bradley Beal,0.3500000000000001,1.0,0.6681611911176277
35,Brandon Clarke,0.19999999999999996,0.37106918238993714,0.05943054488645943
36,Brandon Goodwin,0.25,0.12264150943396226,0.038448158156409985
37,Brandon Ingram,0.15000000000000013,0.761006289308176,0.6340155155597209
38,Brook Lopez,0.6000000000000001,0.3584905660377359,0.2944307760512867
39,Bruno Caboclo,0.25,0.0880503144654088,0.007245865001323902
40,Bruno Fernando,0.10000000000000009,0.04716981132075472,0.03417377384053147
41,Bryn Forbes,0.3500000000000001,0.29874213836477986,0.05324345204093401
42,Buddy Hield,0.40000000000000013,0.5314465408805031,0.5738808607674925
43,CJ McCollum,0.44999999999999996,0.7484276729559749,0.6821842128995933
44,Caleb Martin,0.25,0.16666666666666666,0.03417377384053147
45,Cam Reddish,0.050000000000000044,0.3522012578616352,0.10261576620478242
46,Cameron Johnson,0.25,0.32389937106918243,0.09742817606388549
47,Cameron Payne,0.30000000000000004,0.22641509433962265,0.044859734630227764
48,Cameron Reynolds,0.30000000000000004,0.15723270440251572,0.0014199992075679035
49,Caris LeVert,0.30000000000000004,0.5440251572327044,0.37604916356743623
50,Carmelo Anthony,0.8,0.44025157232704404,0.036561848510355696
51,Carsen Edwards,0.15000000000000013,0.16037735849056603,0.03417377384053147
52,Cedi Osman,0.25,0.31761006289308175,0.20463976907541662
53,Chandler Hutchison,0.19999999999999996,0.05974842767295597,0.05571793998756226
54,Chimezie Metu,0.19999999999999996,0.10691823899371068,0.0
55,Chris Boucher,0.40000000000000013,0.4339622641509434,0.15015238022251515
56,Chris Clemons,0.15000000000000013,0.15408805031446543,0.03417377384053147
57,Chris Paul,0.75,0.4937106918238994,0.9616460071735126
58,Chris Silva,0.19999999999999996,0.0849056603773585,0.03417377384053147
59,Christian Wood,0.25,0.6886792452830188,0.3018382701961586
60,Clint Capela,0.30000000000000004,0.449685534591195,0.37130704876730486
61,Coby White,0.050000000000000044,0.47798742138364775,0.12856489103988836
62,Cody Martin,0.25,0.11949685534591194,0.03417377384053147
63,Cody Zeller,0.40000000000000013,0.2893081761006289,0.3577055710630244
64,Cole Aldrich,0.6000000000000001,0.09748427672955975,0.014790358643499655
