,name,age,points,salary,label
0,AJ Hammons,0.24059263905069345,-1.107918353154553,-0.8296720412080213,1
1,Aaron Gordon,-0.5015431167902913,0.6960678997846372,0.9901116521923304,3
2,Aaron Holiday,-0.7489217020706196,-0.42414937018566623,-0.6254991944275426,1
3,Abdel Nader,-0.006785946229634819,-0.4532459226524274,-0.6861396307167927,1
4,Admiral Schofield,-0.7489217020706196,-0.9915321432875084,-0.7101802298064498,1
5,Al Horford,1.724864150732663,0.6524230710844957,1.9481419417091583,0
6,Alec Burks,0.4879712243310217,0.4051023751170259,-0.25160730362799477,3
7,Alen Smailagic,-1.7384360431919326,-1.1806597343214558,-0.7101802298064498,1
8,Alex Caruso,-0.006785946229634819,-0.5841804087528526,-0.5841275383882621,1
9,Alex Len,-0.006785946229634819,-0.5405355800527109,-0.6344659862350472,1
10,Alfonzo McKinnie,0.24059263905069345,-1.0642735244544113,-0.6851322478763467,1
11,Alize Johnson,-0.7489217020706196,-1.1370149056213141,-0.854134173641436,1
12,Anderson Varejao,2.714378491853976,-0.36595626525214403,-0.6697289897769857,4
13,Andre Drummond,-0.006785946229634819,1.1179679105526736,1.9949237531249475,0
14,Andre Iguodala,2.4669999065736476,-0.7442114473200387,0.6692179618619762,4
15,Andre Roberson,0.4879712243310217,-1.2534011154883586,-0.8487299524721937,1
16,Andrew Nicholson,0.9827283948916782,-0.5550838562860914,-0.5744660350749046,4
17,Andrew Wiggins,-0.2541645315099631,1.1470644630194347,2.1570679861961777,0
18,Anfernee Simons,-1.4910574579116043,-0.2641183316184801,-0.6350757771886384,1
19,Anthony Davis,0.24059263905069345,1.845381722221702,2.4844715018978727,0
20,Anzejs Pasecniks,-0.5015431167902913,-1.4279804302889254,-0.8271950212438534,1
21,Aron Baynes,1.724864150732663,-0.5405355800527109,-0.14929338524022023,4
22,Austin Rivers,0.24059263905069345,-0.36595626525214403,-0.5073920995974311,1
23,Avery Bradley,0.73534980961135,-0.19137695045157724,-0.2889518838395325,4
24,Bam Adebayo,-0.9963002873509478,1.3652886065201433,-0.34210478295332847,2
25,Ben McLemore,0.24059263905069345,-0.46779419888580803,-0.6319046596021276,1
26,Ben Simmons,-0.7489217020706196,0.914292043285346,2.2611406808410384,0
27,Bismack Biyombo,0.24059263905069345,-0.6278252374529942,-0.5073920995974311,1
28,Blake Griffin,1.2301069801720064,0.25961961278322027,2.477162707137842,0
29,Boban Marjanovic,1.2301069801720064,-0.7878562760201804,-0.5073920995974311,4
30,Bobby Portis,-0.2541645315099631,0.1432334029161759,-0.4948074876357349,1
31,Bogdan Bogdanovic,0.24059263905069345,-0.03134591188439106,0.9761597170252999,3
32,Bojan Bogdanovic,0.9827283948916782,0.7397127284847791,0.9608126292671337,3
33,Brad Wanamaker,0.9827283948916782,-0.7442114473200387,-0.6352844975821494,4
34,Bradley Beal,-0.006785946229634819,3.198371411926095,2.0762158445850964,0
35,Brandon Clarke,-0.7489217020706196,0.28871616524998156,-0.599175869504736,2
36,Brandon Goodwin,-0.5015431167902913,-0.8605976571870833,-0.6913941666234337,1
37,Brandon Ingram,-0.9963002873509478,2.0927024181891714,1.9261444492557867,0
38,Brook Lopez,1.2301069801720064,0.23052306031645925,0.4336580697098432,3
39,Bruno Caboclo,-0.5015431167902913,-1.0206286957542696,-0.8285292970535483,1
40,Bruno Fernando,-1.2436788726312762,-1.2097562867882168,-0.7101802298064498,1
41,Bryn Forbes,-0.006785946229634819,-0.04589418811777157,-0.6263683511642468,1
42,Buddy Hield,0.24059263905069345,1.0306782531523901,1.6618506139497127,0
43,CJ McCollum,0.4879712243310217,2.0345093132556493,2.137847498115687,0
44,Caleb Martin,-0.5015431167902913,-0.6569217899197554,-0.7101802298064498,1
45,Cam Reddish,-1.4910574579116043,0.20142650784969796,-0.40937536578194317,2
46,Cameron Johnson,-0.5015431167902913,0.07049202174927306,-0.4321749993554749,1
47,Cameron Payne,-0.2541645315099631,-0.38050454148552454,-0.6632150718489096,1
48,Cameron Reynolds,-0.2541645315099631,-0.700566618619897,-0.854134173641436,1
49,Caris LeVert,-0.2541645315099631,1.0888713580859126,0.7923736346810141,3
50,Carmelo Anthony,2.2196213212933196,0.6087782423843539,-0.6996845611164767,4
51,Carsen Edwards,-0.9963002873509478,-0.6860183423865165,-0.7101802298064498,1
52,Cedi Osman,-0.5015431167902913,0.041395469282511775,0.039023566665949874,2
53,Chandler Hutchison,-0.7489217020706196,-1.1515631818546945,-0.6154928932092183,1
54,Chimezie Metu,-0.7489217020706196,-0.933339038353986,-0.8603751180352535,1
55,Chris Boucher,0.24059263905069345,0.5796816899175928,-0.2004503444341075,3
56,Chris Clemons,-0.9963002873509478,-0.7151148948532775,-0.7101802298064498,1
57,Chris Paul,1.9722427360129913,0.8560989383518234,3.366091506256506,0
58,Chris Silva,-0.7489217020706196,-1.03517697198765,-0.7101802298064498,1
59,Christian Wood,-0.5015431167902913,1.7580920648214184,0.46621425622691465,2
60,Clint Capela,-0.2541645315099631,0.6524230710844957,0.7715318802497508,3
61,Coby White,-1.4910574579116043,0.7833575571849206,-0.2953280872334586,2
62,Cody Martin,-0.5015431167902913,-0.8751459334204639,-0.7101802298064498,1
63,Cody Zeller,0.24059263905069345,-0.08953901681791337,0.7117529271533258,3
64,Cole Aldrich,1.2301069801720064,-0.9769838670541279,-0.7953709931267647,4
65,Collin Sexton,-1.2436788726312762,2.0636058657224106,-0.3547520110330781,2
66,Cory Joseph,0.4879712243310217,-0.4532459226524274,0.42366455773131734,3
